student_id,week_start,monday_1_entry,monday_1,monday_1_exit,monday_2_entry,monday_2,monday_2_exit,monday_3_entry,monday_3,monday_3_exit,monday_4_entry,monday_4,monday_4_exit,monday_5_entry,monday_5,monday_5_exit,monday_end,tuesday_1_entry,tuesday_1,tuesday_1_exit,tuesday_2_entry,tuesday_2,tuesday_2_exit,tuesday_3_entry,tuesday_3,tuesday_3_exit,tuesday_4_entry,tuesday_4,tuesday_4_exit,tuesday_5_entry,tuesday_5,tuesday_5_exit,tuesday_end,wednesday_1_entry,wednesday_1,wednesday_1_exit,wednesday_2_entry,wednesday_2,wednesday_2_exit,wednesday_3_entry,wednesday_3,wednesday_3_exit,wednesday_4_entry,wednesday_4,wednesday_4_exit,wednesday_5_entry,wednesday_5,wednesday_5_exit,wednesday_end,thursday_1_entry,thursday_1,thursday_1_exit,thursday_2_entry,thursday_2,thursday_2_exit,thursday_3_entry,thursday_3,thursday_3_exit,thursday_4_entry,thursday_4,thursday_4_exit,thursday_5_entry,thursday_5,thursday_5_exit,thursday_end,friday_1_entry,friday_1,friday_1_exit,friday_2_entry,friday_2,friday_2_exit,friday_3_entry,friday_3,friday_3_exit,friday_4_entry,friday_4,friday_4_exit,friday_5_entry,friday_5,friday_5_exit,week_end
Person_806900142,163,NA,3,NA,NA,8,NA,Event_0170969,Event_4978831211,Event_2115962,NA,25,NA,NA,30,NA,164,NA,39,NA,NA,40,NA,Event_1795146,Event_8591225418,Event_4423353,NA,49,NA,NA,53,NA,178,NA,68,NA,NA,70,NA,Event_2105760,Event_1765933849,Event_7555800,NA,Event_51071,NA,Event_8800231,Event_1548754477,Event_2509749,192,NA,91,NA,NA,95,NA,NA,101,NA,NA,106,NA,Event_6948137,Event_8410776382,Event_7599275,206,NA,127,NA,NA,130,NA,Event_7555772,Event_3737381870,Event_9277210,NA,140,NA,NA,145,NA,220
Person_579557870,151,NA,4,NA,NA,11,NA,Event_7520607,Event_4957833018,Event_0282006,Event_8683731,Event_0236992433,Event_2847241,NA,29,NA,152,NA,32,NA,NA,34,NA,Event_7543701,Event_0611160037,Event_4202693,Event_1795146,Event_0813066148,Event_0255533,NA,57,NA,166,NA,Event_03393,NA,NA,64,NA,NA,74,NA,NA,81,NA,Event_1972861,Event_5892226687,Event_5067277,180,NA,92,NA,NA,101,NA,Event_3453705,Event_5232812316,Event_8252526,Event_6565454,Event_8889683911,Event_0109368,NA,117,NA,194,Event_4872607,Event_3806774879,Event_9387219,Event_1795146,Event_6253430186,Event_0255533,NA,144,NA,NA,145,NA,NA,148,NA,208
Person_504675548,157,NA,1,NA,NA,6,NA,NA,8,NA,NA,23,NA,NA,28,NA,158,Event_9771338,Event_5840219088,Event_4553144,NA,38,NA,NA,Event_20941,NA,Event_1795146,Event_8994538921,Event_4423353,NA,49,NA,172,Event_9611573,Event_5582160881,Event_7251312,NA,70,NA,NA,73,NA,NA,76,NA,NA,89,NA,186,Event_5290456,Event_5028926164,Event_7679381,NA,103,NA,NA,106,NA,NA,110,NA,NA,115,NA,200,Event_2824754,Event_5528747516,Event_7033897,NA,127,NA,NA,131,NA,Event_1795146,Event_8520863831,Event_9277210,NA,147,NA,214
Person_736398312,157,Event_5290456,Event_1312889737,Event_6956541,NA,12,NA,NA,23,NA,NA,26,NA,Event_4227566,Event_2007629609,Event_4479855,158,NA,35,NA,NA,51,NA,Event_5228554,Event_5834911334,Event_3994645,NA,56,NA,NA,58,NA,172,Event_7684440,Event_3623681317,Event_0692780,Event_5105002,Event_0030845405,Event_0170969,NA,81,NA,NA,86,NA,NA,89,NA,186,Event_8961820,Event_7257257129,Event_2204182,NA,98,NA,Event_5105002,Event_5315134107,Event_1816413,NA,114,NA,Event_2231185,Event_1698994272,Event_4479855,200,NA,124,NA,NA,127,NA,NA,135,NA,NA,137,NA,NA,Event_49146,NA,214
Person_041639882,159,NA,Event_46333,NA,NA,10,NA,Event_4202693,Event_6157185134,Event_0282006,Event_0170969,Event_6998974228,Event_2115962,NA,27,NA,160,NA,34,NA,Event_1042535,Event_4692024273,Event_8825687,Event_8639659,Event_8598639856,Event_8252526,NA,55,NA,NA,58,NA,174,Event_1962315,Event_7088103724,Event_8567456,Event_1795146,Event_1621060735,Event_9277210,NA,80,NA,NA,87,NA,NA,90,NA,188,Event_4872607,Event_5392145206,Event_7542602,Event_2157803,Event_0643406161,Event_3806475,NA,102,NA,Event_0751027,Event_1344186343,Event_5813805,Event_0366551,Event_2819679838,Event_3994645,202,Event_5774716,Event_6686698607,Event_5432037,Event_7679381,Event_6241180413,Event_6131566,NA,140,NA,NA,142,NA,NA,147,NA,216
Person_442499345,157,Event_6888197,Event_3842084830,Event_1196842,NA,Event_4981112978,NA,Event_0769366,Event_8154520898,Event_5812832,NA,19,NA,Event_3994645,Event_2793708466,Event_8681675,158,Event_5889306,Event_3703359008,Event_4306593,NA,41,NA,NA,Event_11657,NA,NA,51,NA,NA,60,NA,172,Event_0915018,Event_2418303163,Event_1196842,NA,75,NA,NA,76,NA,NA,81,NA,Event_6800652,Event_5897222429,Event_4869059,186,NA,92,NA,Event_6847067,Event_0654795270,Event_7033897,Event_8212993,Event_7959565984,Event_4418215,Event_2105760,Event_2802650590,Event_3806475,Event_2847241,Event_5062786363,Event_7532361,200,NA,125,NA,NA,128,NA,NA,132,NA,NA,144,NA,NA,147,NA,214
Person_352939308,151,NA,2,NA,NA,8,NA,Event_9765752,Event_9468532006,Event_6547123,NA,23,NA,Event_2115962,Event_9350813005,Event_3507359,152,Event_3689147,Event_4476780942,Event_4367731,NA,34,NA,Event_7033897,Event_9786194752,Event_8639659,NA,45,NA,Event_7294418,Event_7186971971,Event_3556068,166,Event_7251312,Event_5685946465,Event_4202693,NA,76,NA,NA,81,NA,NA,Event_93970,NA,NA,87,NA,180,NA,96,NA,NA,99,NA,Event_6663553,Event_4003110737,Event_4993804,NA,111,NA,Event_3994645,Event_7243175229,Event_8681675,194,NA,123,NA,Event_7543701,Event_4943932903,Event_4202693,NA,133,NA,NA,137,NA,Event_9694406,Event_2858723731,Event_9370799,208
Person_821267030,161,NA,1,NA,Event_3943720,Event_1225666490,Event_7470197,Event_2466970,Event_5504036817,Event_6533657,Event_3806475,Event_2634305952,Event_1921454,NA,Event_33879,NA,162,NA,33,NA,Event_4872607,Event_0218627798,Event_8557381,Event_9765752,Event_5483995530,Event_6547123,NA,53,NA,Event_5880216,Event_6242849489,Event_8875088,176,Event_5774716,Event_0509902581,Event_8480746,Event_6533657,Event_5821233040,Event_6926163,NA,80,NA,NA,86,NA,Event_7096402,Event_1093401973,Event_7745743,190,NA,100,NA,NA,103,NA,NA,108,NA,Event_0170969,Event_8713604990,Event_3191909,Event_4372129,Event_9116515929,Event_6578391,204,NA,122,NA,Event_1088614,Event_8646351736,Event_8557381,Event_6533657,Event_2983866739,Event_4884624,NA,143,NA,NA,146,NA,218
Person_776750320,155,Event_1088614,Event_9698382264,Event_0133943,Event_7737766,Event_0260163630,Event_9517931,NA,24,NA,Event_0705966,Event_2843517379,Event_9187189,Event_4754738,Event_4684517299,Event_0721943,156,Event_6847067,Event_7125318578,Event_8639659,NA,51,NA,NA,52,NA,NA,57,NA,NA,Event_63831,NA,170,NA,67,NA,Event_6275387,Event_1472848065,Event_4423353,NA,81,NA,NA,84,NA,Event_7096402,Event_5491305342,Event_7745743,184,NA,93,NA,Event_7033897,Event_7230787094,Event_8639659,Event_7294418,Event_0864093574,Event_8163356,Event_2970306,Event_6563631549,Event_7696167,Event_4242692,Event_2641008908,Event_4779719,198,NA,130,NA,NA,135,NA,NA,136,NA,NA,143,NA,NA,147,NA,212
Person_867163032,155,NA,Event_81263,NA,NA,4,NA,Event_6533657,Event_6118144262,Event_4884624,NA,27,NA,NA,29,NA,156,NA,31,NA,Event_4169224,Event_0163765087,Event_9765752,Event_1795146,Event_2442245797,Event_4423353,NA,54,NA,NA,57,NA,170,NA,65,NA,Event_7251312,Event_9429427702,Event_4202693,Event_0170969,Event_3889501540,Event_2115962,Event_9497557,Event_5249835758,Event_9968241,Event_4234200,Event_4975876657,Event_4479855,184,NA,93,NA,NA,95,NA,NA,99,NA,Event_6663553,Event_1333228950,Event_4993804,NA,111,NA,198,Event_1962315,Event_8117598060,Event_8567456,NA,125,NA,Event_4786226,Event_8277627713,Event_5105002,Event_1795146,Event_2787529630,Event_4423353,NA,144,NA,212
Person_379890516,151,NA,3,NA,Event_9611573,Event_1383107317,Event_7543701,NA,12,NA,NA,17,NA,Event_5812832,Event_3818423608,Event_5999452,152,NA,37,NA,Event_6663553,Event_1595475733,Event_8683731,Event_8252526,Event_7079506132,Event_2711075,NA,55,NA,NA,59,NA,166,Event_2992347,Event_1166881625,Event_5671531,NA,75,NA,NA,77,NA,Event_0170969,Event_5077519232,Event_2115962,NA,86,NA,180,Event_8961820,Event_5436992493,Event_2204182,NA,Event_87724,NA,NA,108,NA,Event_8683731,Event_5588917463,Event_6577580,Event_0481538,Event_9536428787,Event_2239224,194,NA,121,NA,NA,126,NA,Event_2105760,Event_4568055971,Event_3806475,Event_5228554,Event_6599752256,Event_3994645,NA,145,NA,208
Person_861843422,163,NA,3,NA,Event_0751027,Event_8951831793,Event_5813805,Event_1948176,Event_3928666165,Event_6912812,Event_2498687,Event_4142480204,Event_3556068,NA,25,NA,164,NA,Event_5465382946,NA,Event_7543701,Event_1861284228,Event_2182641,NA,48,NA,NA,Event_26319,NA,NA,58,NA,178,Event_1179474,Event_4071637535,Event_1594341,NA,71,NA,Event_0666523,Event_1496314813,Event_8252526,NA,79,NA,Event_0833106,Event_3660810875,Event_5067277,192,Event_6977545,Event_6103405908,Event_7542602,Event_8639659,Event_5013023223,Event_8252526,Event_9694406,Event_4299982439,Event_9165141,Event_8787336,Event_8128771239,Event_5208649,NA,120,NA,206,Event_8085880,Event_2137382778,Event_8363200,Event_4872607,Event_1675314544,Event_8557381,NA,136,NA,NA,142,NA,NA,145,NA,220
Person_326743473,155,Event_9611573,Event_1917896137,Event_7543701,NA,18,NA,NA,24,NA,NA,Event_67548,NA,Event_4227566,Event_1270862076,Event_4479855,156,NA,Event_8975810047,NA,NA,40,NA,Event_5105002,Event_6425216634,Event_1623297,Event_9694406,Event_2193499276,Event_9370799,NA,57,NA,170,NA,61,NA,NA,74,NA,NA,84,NA,Event_2847241,Event_4055749745,Event_0452098,Event_7096402,Event_4461196583,Event_7745743,184,NA,102,NA,NA,104,NA,NA,108,NA,NA,115,NA,NA,118,NA,198,Event_1962315,Event_9785475621,Event_4786226,NA,130,NA,Event_5105002,Event_2235529384,Event_1623297,Event_0282006,Event_1133368636,Event_0705966,NA,147,NA,212
Person_257855631,151,NA,2,NA,Event_9611573,Event_1917896137,Event_7543701,NA,8,NA,Event_1795146,Event_1964001243,Event_9277210,Event_9497557,Event_7093439397,Event_9370799,152,NA,33,NA,Event_3349069,Event_7706477429,Event_7778597,Event_5105002,Event_6425216634,Event_1623297,NA,Event_53719,NA,Event_5880216,Event_9962571555,Event_6295646,166,NA,62,NA,NA,64,NA,NA,68,NA,NA,79,NA,NA,87,NA,180,NA,95,NA,Event_4202693,Event_3962430091,Event_0282006,NA,111,NA,NA,113,NA,NA,115,NA,194,NA,122,NA,NA,Event_2355621943,NA,Event_5105002,Event_2235529384,Event_1623297,NA,139,NA,NA,145,NA,208
Person_235713829,155,Event_1962315,Event_9326613594,Event_4786226,NA,16,NA,Event_3806475,Event_1748724003,Event_1921454,Event_2115962,Event_0032965191,Event_3507359,Event_4754738,Event_9091666387,Event_0721943,156,Event_3689147,Event_7208895665,Event_4169224,NA,38,NA,NA,40,NA,NA,Event_26319,NA,NA,58,NA,170,NA,64,NA,NA,75,NA,NA,77,NA,Event_0170969,Event_3549785499,Event_2115962,Event_2847241,Event_0724338255,Event_0452098,184,Event_1962315,Event_4100905345,Event_4786226,NA,100,NA,Event_0170969,Event_7573029439,Event_3191909,Event_2847241,Event_3771499636,Event_7532361,Event_6800652,Event_8729515636,Event_6814432,198,Event_3689147,Event_9119034537,Event_4169224,NA,128,NA,NA,130,NA,NA,137,NA,NA,139,NA,212
Person_759052879,155,NA,3,NA,NA,5,NA,NA,11,NA,Event_6275387,Event_5812233638,Event_4423353,Event_9694406,Event_4990522668,Event_7554508,156,NA,34,NA,Event_4872607,Event_5984733814,Event_7542602,Event_5105002,Event_7562962417,Event_1623297,NA,53,NA,NA,Event_75032,NA,170,NA,64,NA,Event_4553144,Event_2586740969,Event_2157803,Event_6533657,Event_9163748803,Event_6926163,NA,76,NA,Event_8683731,Event_7676012163,Event_0452098,184,NA,91,NA,NA,94,NA,Event_4872607,Event_7641090084,Event_9524471,NA,101,NA,Event_7294418,Event_9773875551,Event_7554508,198,Event_1085382,Event_4159419107,Event_5638853,NA,131,NA,Event_5105002,Event_7951454382,Event_1623297,NA,140,NA,NA,142,NA,212
Person_936191254,151,NA,1,NA,Event_4872607,Event_5375262262,Event_8557381,NA,14,NA,NA,16,NA,Event_5812832,Event_1020693863,Event_0161783,152,Event_4786226,Event_0189230397,Event_5105002,Event_7679381,Event_5019955787,Event_6131566,NA,Event_53719,NA,NA,54,NA,Event_0452098,Event_3279989819,Event_7152978,166,NA,64,NA,Event_4624205,Event_9975979716,Event_7679381,NA,77,NA,NA,86,NA,NA,89,NA,180,NA,91,NA,NA,96,NA,Event_1088614,Event_7428450024,Event_7363870,Event_8683731,Event_1105626291,Event_2847241,NA,120,NA,194,Event_1962315,Event_3841366265,Event_8567456,NA,124,NA,Event_4553144,Event_9553673797,Event_2105760,Event_4202693,Event_6631948608,Event_0282006,NA,148,NA,208
Person_951632122,159,Event_1179474,Event_0012381028,Event_5774716,NA,7,NA,NA,14,NA,NA,23,NA,Event_4981378,Event_0133255282,Event_2239224,160,Event_7218299,Event_0905324852,Event_9724174,NA,34,NA,NA,38,NA,Event_0249277,Event_4096664955,Event_5105002,NA,Event_8174762059,NA,174,Event_0915018,Event_3597509858,Event_1196842,Event_9697702,Event_4289383454,Event_8639659,NA,Event_82985,NA,NA,86,NA,NA,88,NA,188,Event_2682269,Event_7225382698,Event_1085382,NA,99,NA,NA,101,NA,NA,105,NA,NA,110,NA,202,Event_1179474,Event_3857543676,Event_8480746,Event_0249277,Event_8918642054,Event_5105002,NA,Event_9235662145,NA,NA,141,NA,NA,142,NA,216
Person_061190488,157,NA,1,NA,NA,13,NA,NA,18,NA,Event_0366551,Event_6493648283,Event_3994645,Event_9397753,Event_2175192405,Event_8107122,158,NA,32,NA,NA,35,NA,NA,Event_32622,NA,Event_0751027,Event_9893446278,Event_5813805,NA,52,NA,172,NA,61,NA,NA,66,NA,NA,67,NA,NA,72,NA,Event_8800231,Event_2174668082,Event_2509749,186,NA,93,NA,NA,101,NA,NA,104,NA,Event_0170969,Event_7847296299,Event_2115962,Event_9452028,Event_8938839173,Event_2514108,200,NA,124,NA,NA,127,NA,Event_7679381,Event_6256117063,Event_6131566,NA,144,NA,NA,148,NA,214
Person_067710960,163,NA,2,NA,NA,5,NA,Event_6663553,Event_7401368164,Event_8683731,Event_8252526,Event_4317772797,Event_2711075,Event_2847241,Event_6977262351,Event_7532361,164,NA,32,NA,NA,37,NA,NA,45,NA,NA,46,NA,Event_0366551,Event_1959000533,Event_3994645,178,NA,64,NA,Event_1686614,Event_3781146339,Event_6533657,NA,77,NA,NA,83,NA,NA,87,NA,192,NA,91,NA,Event_7985829,Event_0581421640,Event_0660138,Event_3806475,Event_2244516292,Event_2164736,Event_5880216,Event_5531278293,Event_7209004,Event_2231185,Event_2585832834,Event_4479855,206,NA,123,NA,NA,124,NA,NA,Event_90835,NA,NA,130,NA,NA,146,NA,220
Person_302759416,155,Event_5290456,Event_3797738453,Event_6956541,NA,Event_9971022781,NA,Event_2105760,Event_0533250832,Event_3806475,Event_0660138,Event_0895869802,Event_2970306,NA,30,NA,156,NA,35,NA,NA,39,NA,NA,43,NA,NA,46,NA,NA,59,NA,170,NA,63,NA,Event_0694263,Event_5287642008,Event_3349069,NA,Event_93970,NA,NA,87,NA,NA,90,NA,184,Event_3170946,Event_5671874455,Event_4553144,Event_0692780,Event_1946993786,Event_4478097,Event_0095816,Event_1802267116,Event_6565454,Event_7294418,Event_4616719918,Event_9370799,NA,115,NA,198,NA,124,NA,NA,135,NA,Event_9694406,Event_2187493279,Event_9792810,NA,142,NA,NA,149,NA,212
Person_098412403,157,NA,1,NA,Event_6663553,Event_4406685987,Event_4993804,Event_8252526,Event_5415420644,Event_2711075,NA,Event_33879,NA,NA,30,NA,158,Event_2824754,Event_1966582703,Event_7033897,Event_4872607,Event_7048018678,Event_8557381,NA,43,NA,NA,53,NA,NA,57,NA,172,Event_5774716,Event_8293460755,Event_8480746,NA,73,NA,Event_6275387,Event_6582291844,Event_9277210,NA,84,NA,NA,88,NA,186,Event_6847067,Event_4020833138,Event_7033897,Event_4506467,Event_8196397117,Event_7305354,Event_4202693,Event_1407881464,Event_4056419,Event_3806475,Event_5398324873,Event_2164736,NA,115,NA,200,Event_3786642,Event_2798888853,Event_7543701,Event_8212993,Event_8182307967,Event_1975292,NA,136,NA,NA,141,NA,NA,149,NA,214
Person_281910714,163,Event_1962315,Event_9326613594,Event_4786226,Event_7543701,Event_2692971526,Event_4202693,Event_7555772,Event_1256301869,Event_4423353,NA,24,NA,NA,25,NA,164,NA,38,NA,NA,40,NA,NA,46,NA,Event_0170969,Event_5686511657,Event_2115962,NA,57,NA,178,NA,65,NA,NA,73,NA,Event_5405830,Event_8644357565,Event_0282006,NA,84,NA,Event_4071287,Event_5124721413,Event_1909913,192,Event_1962315,Event_4100905345,Event_4786226,Event_2204182,Event_9851295083,Event_0769366,Event_1795146,Event_4345786607,Event_4423353,NA,115,NA,Event_4227566,Event_1539366426,Event_4479855,206,NA,125,NA,NA,129,NA,NA,Event_09031,NA,Event_0170969,Event_9428487006,Event_2115962,NA,148,NA,220
Person_972821045,159,NA,1,NA,NA,4,NA,Event_4169224,Event_8811265537,Event_9765752,Event_4418215,Event_1254143962,Event_4187985,Event_7599275,Event_6985411943,Event_6420193,160,NA,33,NA,Event_8639659,Event_8037553944,Event_0666523,NA,47,NA,NA,57,NA,NA,59,NA,174,NA,71,NA,Event_6842677,Event_0511401455,Event_3910412,Event_0666523,Event_5839600403,Event_8252526,NA,86,NA,NA,89,NA,188,NA,Event_3514258627,NA,Event_1795146,Event_4606724389,Event_9428375,NA,109,NA,NA,114,NA,Event_2970306,Event_1101636101,Event_1112381,202,NA,123,NA,NA,129,NA,NA,130,NA,Event_8639659,Event_8846620021,Event_0666523,NA,Event_57049,NA,216
Person_994198275,161,NA,2,NA,Event_4553144,Event_2526613808,Event_2105760,NA,19,NA,NA,22,NA,Event_2970306,Event_6688181337,Event_7696167,162,Event_1962315,Event_4405484909,Event_4786226,NA,37,NA,NA,45,NA,NA,46,NA,Event_8252526,Event_5587293297,Event_2711075,176,Event_0915018,Event_7821303856,Event_9705386,Event_4786226,Event_0764437488,Event_5105002,NA,77,NA,NA,83,NA,Event_9452028,Event_4289959237,Event_7209004,190,NA,Event_88009,NA,Event_1686614,Event_8811325199,Event_6533657,NA,107,NA,NA,111,NA,NA,116,NA,204,Event_8085880,Event_8209845111,Event_4553144,NA,127,NA,NA,132,NA,Event_8252526,Event_7686279511,Event_2711075,Event_3994645,Event_1734139768,Event_8681675,218
