CRN,EventID,Section,Name,DayOfWeek,StartTime,EndTime,SeatsTaken,Seats,LocationID,Building,Type
81092.0,Event_3654209229,01,Software Design & Doc.,4.0,1600.0,1750.0,5.0,14.0,Loc_41662,WEST HALL,Class
84747.0,Event_0633202982,04,Intro To Afro Cuban Percussion,4.0,1900.0,2050.0,8.0,14.0,Loc_41662,WEST HALL,Class
84364.0,Event_4316446024,01,Composition Seminar,5.0,1000.0,1150.0,4.0,14.0,Loc_41662,WEST HALL,Class
81125.0,Event_3602498347,10,Intro Differential Equations,5.0,1000.0,1120.0,9.0,14.0,Loc_41662,WEST HALL,Class
85526.0,Event_9927909800,01,"Race, Class, Gender & Tech",5.0,1200.0,1350.0,7.0,14.0,Loc_41662,WEST HALL,Class
81302.0,Event_0579712968,19,Calculus I,5.0,1300.0,1350.0,8.0,14.0,Loc_41662,WEST HALL,Class
83912.0,Event_3887956644,13,Physics I,5.0,1400.0,1550.0,12.0,14.0,Loc_41662,WEST HALL,Class
82905.0,Event_7754785436,01,Adv Molecular Biology,1.0,800.0,950.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84401.0,Event_3825930509,02,Materials Science,1.0,1000.0,1150.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81522.0,Event_7308616402,01,Quantitative Methods For Bus,1.0,1000.0,1150.0,0.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
85486.0,Event_6946504117,01,Well Being:Cultivtng Curiosity,1.0,1200.0,1350.0,3.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84155.0,Event_5335467183,01,Integrated Design Schematic,1.0,1400.0,1750.0,4.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84250.0,Event_2983874433,01,Chinese Ii,1.0,1400.0,1550.0,5.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
83896.0,Event_5451825139,16,Computer Science I,1.0,1600.0,1720.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
83055.0,Event_8881141718,02,Numerical Computing,2.0,800.0,950.0,5.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
82012.0,Event_2051423852,11,Chemistry I,2.0,1000.0,1120.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
83365.0,Event_6260948697,05,Intro To Management,2.0,1000.0,1150.0,1.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
82679.0,Event_1659113651,04,Multidisciplinary Cap Design,2.0,1200.0,1350.0,4.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84361.0,Event_5868340075,01,Art History,2.0,1400.0,1550.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84254.0,Event_4776957200,01,Empirical Issues,2.0,1400.0,1650.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81054.0,Event_0506833352,01,Physics I,2.0,1800.0,1950.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84168.0,Event_1841820494,02,Senior Research,3.0,900.0,1150.0,4.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81048.0,Event_4250873273,03,Data Structures,3.0,1200.0,1350.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84149.0,Event_6034074151,01,Building Performance Studio 2,3.0,1400.0,1750.0,1.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
83850.0,Event_4370921200,03,Foundations Of Computer Sci,3.0,1600.0,1650.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
85154.0,Event_8745366101,01,Principles Of Economics,4.0,800.0,950.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84538.0,Event_1225746911,01,Introduction To Graphic Design,4.0,1000.0,1150.0,2.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81479.0,Event_5335240350,01,General Psychology,4.0,1000.0,1150.0,2.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
85274.0,Event_2870342007,01,Fluid Mechanics,4.0,1200.0,1320.0,4.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81517.0,Event_5683152032,02,Basic Drawing,4.0,1400.0,1550.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
85281.0,Event_1118595042,01,Physics Of Nuclear Reactors,4.0,1400.0,1550.0,3.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
82377.0,Event_4927688545,01,Machine Learning From Data,4.0,1600.0,1750.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84748.0,Event_5062432559,05,Intro To Afro Cuban Percussion,4.0,1900.0,2050.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
83648.0,Event_1038256274,01,Methods In Biophysics,5.0,1000.0,1150.0,1.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81126.0,Event_2355621943,11,Intro Differential Equations,5.0,1000.0,1120.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
82679.0,Event_5127054030,04,Multidisciplinary Cap Design,5.0,1200.0,1350.0,4.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
81584.0,Event_2189336531,20,Calculus I,5.0,1300.0,1350.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84540.0,Event_3581838010,11,Physics Ii,5.0,1400.0,1550.0,6.0,6.0,Loc_54058,PEOPLES AVE COMPLEX J,Class
84400.0,Event_2068553977,01,Materials Science,1.0,800.0,950.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81095.0,Event_4981112978,01,Molecular Biochem I,1.0,1000.0,1150.0,1.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
83890.0,Event_0868888355,01,Consumer Behavior And Prod Dsn,1.0,1000.0,1150.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
85487.0,Event_8233442749,02,Well Being:Cultivtng Curiosity,1.0,1200.0,1350.0,5.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84156.0,Event_8158198257,02,Integrated Design Schematic,1.0,1400.0,1750.0,4.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84857.0,Event_3548554253,01,The Physics Of Light,1.0,1400.0,1550.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
82563.0,Event_0056544054,17,Computer Science I,1.0,1600.0,1720.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81004.0,Event_2007321813,02,Intermediate Microecon Theory,2.0,800.0,950.0,5.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
83278.0,Event_6487015978,14,Chemistry I,2.0,1000.0,1120.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81071.0,Event_9588692149,01,Business Law And Ethics,2.0,1000.0,1150.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
82753.0,Event_8174762059,01,Operations Research Methods,2.0,1200.0,1350.0,3.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
85259.0,Event_5058010663,01,Fundamentals Of 2 D Design,2.0,1400.0,1550.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81291.0,Event_6645032128,01,Introduction To Polymers,2.0,1400.0,1520.0,2.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81055.0,Event_9148815385,02,Physics I,2.0,1800.0,1950.0,4.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84255.0,Event_1958460367,01,Prof Dev Workshop I  Ms,3.0,900.0,1050.0,2.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
83405.0,Event_6797017804,04,Data Structures,3.0,1200.0,1350.0,5.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
83848.0,Event_7636204039,01,Architectural Design Studio 5,3.0,1400.0,1750.0,4.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81011.0,Event_6263727325,06,Engr Graphics & Cad,3.0,1600.0,1750.0,5.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84408.0,Event_0769751120,01,Materials Science,4.0,800.0,950.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84558.0,Event_3514258627,01,Foundations Of Hci Usability,4.0,1000.0,1150.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
85196.0,Event_1645497804,01,Research Methods & Stats I,4.0,1000.0,1150.0,2.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84388.0,Event_0994579808,01,Aerodynamics I,4.0,1200.0,1350.0,5.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
83832.0,Event_3295304739,01,Creative Seminar I,4.0,1400.0,1550.0,3.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
85336.0,Event_4280923659,01,Heat Transfer,4.0,1400.0,1520.0,1.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
85375.0,Event_2726573928,01,Networking In The Linux Kernel,4.0,1600.0,1750.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84749.0,Event_8602496361,06,Intro To Afro Cuban Percussion,4.0,1900.0,2050.0,4.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
85432.0,Event_9057950906,01,Data Analytics,5.0,1000.0,1150.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
82753.0,Event_9235662145,01,Operations Research Methods,5.0,1200.0,1350.0,3.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81106.0,Event_1398733554,04,Calculus Ii,5.0,1300.0,1350.0,6.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
84226.0,Event_7688815093,14,Physics Mentoring For Freshmen,5.0,1400.0,1450.0,1.0,6.0,Loc_43449,PEOPLES AVE COMPLEX J,Class
81582.0,Event_0444758557,02,Modern Techniques In Chemistry,1.0,800.0,1050.0,5.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84195.0,Event_2635437689,01,Biocatalysis,1.0,1000.0,1120.0,5.0,9.0,Loc_89004,RICKETTS BUILDING,Class
82917.0,Event_6007404979,01,Investments,1.0,1000.0,1130.0,6.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84994.0,Event_4426574501,01,Century Of The Gene,1.0,1200.0,1350.0,2.0,9.0,Loc_89004,RICKETTS BUILDING,Class
85000.0,Event_7568503932,03,Integrated Design Schematic,1.0,1400.0,1750.0,7.0,9.0,Loc_89004,RICKETTS BUILDING,Class
82023.0,Event_9430989015,01,Physics Of Light,1.0,1400.0,1550.0,8.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84117.0,Event_2843517379,18,Computer Science I,1.0,1600.0,1720.0,9.0,9.0,Loc_89004,RICKETTS BUILDING,Class
82511.0,Event_9852296848,06,Intro To Engr Analysis,2.0,800.0,950.0,9.0,9.0,Loc_89004,RICKETTS BUILDING,Class
82524.0,Event_6812364699,01,Chemistry I With Advanced Lab,2.0,1000.0,1120.0,9.0,9.0,Loc_89004,RICKETTS BUILDING,Class
81073.0,Event_6452518803,03,Financial Accounting,2.0,1000.0,1150.0,7.0,9.0,Loc_89004,RICKETTS BUILDING,Class
82499.0,Event_7128549044,01,Systems Modeling In Dses,2.0,1200.0,1350.0,6.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84769.0,Event_9574115432,01,3 D Digital Modeling,2.0,1400.0,1550.0,5.0,9.0,Loc_89004,RICKETTS BUILDING,Class
85703.0,Event_6476331542,01,Introduction To Polymers,2.0,1400.0,1520.0,3.0,9.0,Loc_89004,RICKETTS BUILDING,Class
81056.0,Event_1223050987,03,Physics I,2.0,1800.0,1950.0,9.0,9.0,Loc_89004,RICKETTS BUILDING,Class
83579.0,Event_3540271851,01,Materials And Design,3.0,1000.0,1150.0,2.0,9.0,Loc_89004,RICKETTS BUILDING,Class
83605.0,Event_2646883675,02,Foundations Of Computer Sci,3.0,1200.0,1250.0,5.0,9.0,Loc_89004,RICKETTS BUILDING,Class
83847.0,Event_3134364393,02,Architectural Design Studio 5,3.0,1400.0,1750.0,3.0,9.0,Loc_89004,RICKETTS BUILDING,Class
81034.0,Event_1191036845,01,Strength Of Materials,3.0,1600.0,1750.0,8.0,9.0,Loc_89004,RICKETTS BUILDING,Class
81359.0,Event_2584136389,01,Managing It Resources,4.0,800.0,950.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
83392.0,Event_0154115146,01,User Experience Design,4.0,1000.0,1150.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
85197.0,Event_2667565429,02,Research Methods & Stats I,4.0,1000.0,1150.0,5.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84130.0,Event_1407881464,01,Heli Aerodynamic & Performance,4.0,1200.0,1320.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
81080.0,Event_6674802160,01,Introduction To Biology,4.0,1400.0,1550.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84389.0,Event_3449884877,02,Space Vehicle Design,4.0,1400.0,1550.0,5.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84363.0,Event_8193117802,01,Internat Eco And Globalization,4.0,1600.0,1750.0,3.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84768.0,Event_8008471851,01,Graphic Storytelling,5.0,800.0,950.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
83649.0,Event_0182988834,01,Methods In Biophysics,5.0,1000.0,1150.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
81129.0,Event_8912277890,01,Mathematical Analysis I,5.0,1000.0,1150.0,4.0,9.0,Loc_89004,RICKETTS BUILDING,Class
82499.0,Event_0258864754,01,Systems Modeling In Dses,5.0,1200.0,1350.0,6.0,9.0,Loc_89004,RICKETTS BUILDING,Class
84225.0,Event_7488202552,13,Physics Mentoring For Freshmen,5.0,1300.0,1350.0,3.0,9.0,Loc_89004,RICKETTS BUILDING,Class
85194.0,Event_5647291128,01,"Hormones, Brain & Behavior",5.0,1400.0,1550.0,1.0,9.0,Loc_89004,RICKETTS BUILDING,Class
85202.0,Event_0994240938,01,Nonlinear Structural Analysis,1.0,800.0,950.0,8.0,8.0,Loc_01872,WALKER LABORATORY,Class
84896.0,Event_4325514226,01,Biocatalysis Fundamental Appli,1.0,1000.0,1120.0,2.0,8.0,Loc_01872,WALKER LABORATORY,Class
84258.0,Event_1203063358,01,Consumer Behavio/ Prod Design,1.0,1000.0,1150.0,7.0,8.0,Loc_01872,WALKER LABORATORY,Class
85515.0,Event_5288993043,01,Music And Nature,1.0,1200.0,1350.0,3.0,8.0,Loc_01872,WALKER LABORATORY,Class
85569.0,Event_4166941332,04,Integrated Design Schematic,1.0,1400.0,1800.0,6.0,8.0,Loc_01872,WALKER LABORATORY,Class
83554.0,Event_2921577539,01,Intro To Literature,1.0,1400.0,1550.0,5.0,8.0,Loc_01872,WALKER LABORATORY,Class
84267.0,Event_9887900471,19,Computer Science I,1.0,1600.0,1720.0,6.0,8.0,Loc_01872,WALKER LABORATORY,Class
81187.0,Event_2990439028,01,Engr Graphics & Cad,2.0,800.0,950.0,1.0,8.0,Loc_01872,WALKER LABORATORY,Class
84097.0,Event_7493389692,01,Inorganic Chemistry Ii,2.0,1000.0,1120.0,4.0,8.0,Loc_01872,WALKER LABORATORY,Class
83574.0,Event_9783514541,02,Marketing Principles,2.0,1000.0,1150.0,4.0,8.0,Loc_01872,WALKER LABORATORY,Class
83228.0,Event_1177633028,01,Web Systems Development,2.0,1200.0,1350.0,2.0,8.0,Loc_01872,WALKER LABORATORY,Class
83081.0,Event_5559146062,01,Astrophysics,2.0,1400.0,1550.0,2.0,8.0,Loc_01872,WALKER LABORATORY,Class
81236.0,Event_0210510619,08,Physics I,2.0,1400.0,1550.0,8.0,8.0,Loc_01872,WALKER LABORATORY,Class
82518.0,Event_6968015893,04,Physics I,2.0,1800.0,1950.0,6.0,8.0,Loc_01872,WALKER LABORATORY,Class
84503.0,Event_7238461218,01,Engineering Acoustics,3.0,1000.0,1250.0,3.0,8.0,Loc_01872,WALKER LABORATORY,Class
85406.0,Event_1136524268,05,Foundations Of Computer Sci,3.0,1200.0,1250.0,8.0,8.0,Loc_01872,WALKER LABORATORY,Class
84208.0,Event_1740525076,04,Architectural Design Studio 5,3.0,1400.0,1750.0,5.0,8.0,Loc_01872,WALKER LABORATORY,Class
