LocationID,Name,Building,Room,FullCapacity,ReducedCapacity,Latitude,Longitude
Loc_83047,SAGE 3705,RUSSELL SAGE LABORATORY,3705,24,9,42.7298,73.6789
Loc_52971,SAGE 3713,RUSSELL SAGE LABORATORY,3713,45,12,42.7298,73.6789
Loc_89411,SAGE 4101,RUSSELL SAGE LABORATORY,4101,70,35,42.7298,73.6789
Loc_66760,SAGE 4112,RUSSELL SAGE LABORATORY,4112,36,18,42.7298,73.6789
Loc_92672,SAGE 4203,RUSSELL SAGE LABORATORY,4203,24,12,42.7298,73.6789
Loc_59690,SAGE 4510,RUSSELL SAGE LABORATORY,4510,48,24,42.7298,73.6789
Loc_24165,SAGE 5101,RUSSELL SAGE LABORATORY,5101,70,35,42.7298,73.6789
Loc_01665,SAGE 5510,RUSSELL SAGE LABORATORY,5510,68,32,42.7298,73.6789
Loc_50858, TROY 2012,TROY BUILDING,2012,70,35,42.7298,73.6789
Loc_25418, TROY 2015,TROY BUILDING,2015,30,15,42.7298,73.6789
Loc_98663, TROY 2018,TROY BUILDING,2018,68,34,42.7298,73.6789
Loc_60425,VCC 208,VOORHEES COMPUTING CENTER,208,21,10,42.7298,73.6789
Loc_41121,VCC 219,VOORHEES COMPUTING CENTER,219,21,10,42.7298,73.6789
Loc_98218,WALKER 5113,WALKER LABORATORY,5113,64,32,42.7298,73.6789
Loc_85098,WALKER 6113,WALKER LABORATORY,6113,64,32,42.7298,73.6789
Loc_08476,WEST 220,WEST HALL,220,524,105,42.7298,73.6789
Loc_78481,AS&RC 302,AS&RC,302,24,12,42.7298,73.6789
Loc_45911,SAGE 2411,RUSSELL SAGE LABORATORY,2411,30,15,42.7298,73.6789
Loc_95699,SAGE 2510,RUSSELL SAGE LABORATORY,2510,25,12,42.7298,73.6789
Loc_74574,SAGE 5711,RUSSELL SAGE LABORATORY,5711,15,7,42.7298,73.6789
Loc_14195,CARY 140,CARY HALL,140,30,15,42.7298,73.6789
Loc_72581,FIELD 1,HOUSTON FIELD HOUSE,1,20,20,42.7298,73.6789
